Models;MSE_split1;MSE_split2;MSE_split3;MSE_split4;MSE_split5;MSE_split6;MSE_split7;MSE_split8;MSE_split9;MSE_split10
NHITS;0.156303;0.025525;0.066125;0.068634;0.126083;0.061689;0.049797;0.070283;0.058089;0.038322
ES;0.133609;0.061268;0.485154;0.139288;0.474052;0.203062;0.027268;0.101479;0.173969;0.680543
ARIMA;0.087212;0.031808;0.132639;0.147787;0.303665;0.238408;0.022549;0.110144;0.143813;0.726349
PressRidge;0.067521;0.036970;0.076132;0.262587;0.329967;0.131822;0.029989;0.062341;0.165611;0.523430
PipeRF;0.201545;0.111762;0.485963;0.112879;0.439326;0.138927;0.014359;0.072761;0.557538;0.112926
PipeKNN;0.090488;0.058012;0.092125;0.115866;0.327458;1.027984;0.012768;0.107571;0.574709;0.420672
RidgeCV;0.067415;0.036876;0.076050;0.262215;0.330017;0.132090;0.029986;0.062212;0.165844;0.523450
EnetCV;0.067530;0.036988;0.076142;0.262628;0.329962;0.131792;0.029989;0.062355;0.165586;0.523427
LassoCV;0.062864;0.029008;0.063768;0.239716;0.400831;0.153284;0.030421;0.047674;0.230068;0.499965
RF;0.164630;0.281443;0.183562;0.092137;0.206045;0.156925;0.020784;0.093524;0.629453;0.095141
KNN;0.171479;0.055064;0.059759;0.128989;0.640209;0.158320;0.067408;0.067932;0.283481;0.123569
GBR;0.091003;0.039352;0.075412;0.113932;0.521310;0.228180;0.011497;0.039068;0.271071;0.307855
PLS;0.067530;0.036451;0.076142;0.262628;0.329962;0.133187;0.029989;0.062355;0.165586;0.523427
