Models;MSE_split1;MSE_split2;MSE_split3;MSE_split4;MSE_split5;MSE_split6;MSE_split7;MSE_split8;MSE_split9;MSE_split10
NHITS;0.132580;0.006061;0.134033;0.123047;0.145265;0.016765;0.009539;0.041925;0.086942;0.010403
ES;0.144732;0.006791;0.114157;0.053187;0.234518;0.053834;0.019729;0.058780;0.275217;0.098641
ARIMA;0.111046;0.013905;0.101661;0.068786;0.242510;0.067447;0.007043;0.067274;0.279100;0.166327
PressRidge;0.096582;0.011165;0.102291;0.076496;0.328074;0.059154;0.011088;0.083549;0.223637;0.111436
PipeRF;0.160711;0.043990;0.116204;0.111956;0.423193;0.089829;0.018392;0.026236;0.216945;0.014833
PipeKNN;0.099186;0.011146;0.192921;0.137244;0.172827;0.082587;0.018612;0.040855;0.143876;0.019324
RidgeCV;0.096418;0.011166;0.102163;0.076615;0.328087;0.059155;0.011066;0.083488;0.223602;0.111429
EnetCV;0.096599;0.011168;0.102305;0.076482;0.328074;0.059153;0.011090;0.083556;0.223640;0.111437
LassoCV;0.079878;0.008700;0.084686;0.094663;0.351327;0.053021;0.007990;0.084153;0.216325;0.115652
RF;0.124299;0.124126;0.147317;0.115345;0.339789;0.175200;0.021719;0.028282;0.193641;0.017553
KNN;0.091348;0.008285;0.099368;0.120222;0.704350;0.093045;0.022149;0.037101;0.216794;0.029837
GBR;0.121875;0.033051;0.075784;0.088355;0.520792;0.030244;0.016967;0.028364;0.227733;0.021572
PLS;0.096599;0.011173;0.102305;0.076482;0.328754;0.059153;0.011090;0.083556;0.223640;0.111437
