Models;MSE_split1;MSE_split2;MSE_split3;MSE_split4;MSE_split5;MSE_split6;MSE_split7;MSE_split8;MSE_split9;MSE_split10
NHITS;0.204627;0.068482;0.059774;0.074908;0.548997;0.394364;0.037719;0.113223;0.091023;0.070020
ES;0.135699;0.102702;1.064362;0.089909;0.411092;0.502506;0.059154;0.274728;0.346026;0.441552
ARIMA;0.086481;0.045015;0.155164;0.076420;0.275512;0.527096;0.026498;0.173137;0.372265;0.392614
RidgeCV;0.113951;0.035118;0.172454;0.250103;0.116591;0.356747;0.024082;0.227276;0.254313;0.107595
EnetCV;0.102996;0.034606;0.189287;0.263542;0.115448;0.343853;0.024006;0.276179;0.252453;0.115285
LassoCV;0.101177;0.036555;0.200225;0.302677;0.130675;0.459642;0.025583;0.194075;0.244715;0.146399
RF;0.097328;0.185694;0.200667;0.094411;0.147746;0.220508;0.053185;0.126302;0.149020;0.055147
KNN;0.084714;0.147276;0.088337;0.102539;0.281696;0.210344;0.030566;0.079307;0.072063;0.063557
GBR;0.062497;0.058760;0.070972;0.093891;0.124610;0.169714;0.016913;0.064373;0.088961;0.155943
PLS;0.100739;0.036311;0.201642;0.169818;0.128195;0.460186;0.022036;0.272458;0.253510;0.131898
